scrutin_ref,senateur_ref,position
senat-2020-3,20040T,contre
senat-2020-3,07033P,contre
senat-2020-3,20074E,contre
senat-2020-3,19507S,contre
senat-2020-3,14187A,contre
senat-2020-3,19673G,contre
senat-2020-3,20038A,contre
senat-2020-3,01025N,contre
senat-2020-3,20132W,contre
senat-2020-3,17023S,contre
senat-2020-3,97011G,contre
senat-2020-3,19521Q,contre
senat-2020-3,08018U,contre
senat-2020-3,11010L,contre
senat-2020-3,04035D,contre
senat-2020-3,14231L,contre
senat-2020-3,11083R,contre
senat-2020-3,19695N,contre
senat-2020-3,20120S,contre
senat-2020-3,14355X,contre
senat-2020-3,19387D,contre
senat-2020-3,07004J,contre
senat-2020-3,08056B,contre
senat-2020-3,14211G,contre
senat-2020-3,19565D,contre
